楽曲名,難易度,レベル,MAX
恋愛勇者,EXHAUST,12,3281
セツナトリップ,NOVICE,4,-1
セツナトリップ,ADVANCED,10,-1
セツナトリップ,EXHAUST,15,4265
セツナトリップ,HEAVENLY,17,5170
イカサマライフゲイム,NOVICE,4,-1
イカサマライフゲイム,ADVANCED,10,-1
イカサマライフゲイム,EXHAUST,14,4915
イカサマライフゲイム,HEAVENLY,17,6324
ポーカーフェイス,NOVICE,4,-1
ポーカーフェイス,ADVANCED,9,-1
ポーカーフェイス,EXHAUST,12,3932
Black Board,NOVICE,2,-1
Black Board,ADVANCED,9,-1
Black Board,EXHAUST,12,2962
ハートブレイク・ヘッドライン,NOVICE,4,-1
ハートブレイク・ヘッドライン,ADVANCED,8,-1
ハートブレイク・ヘッドライン,EXHAUST,11,2360
dreamin' feat.Ryu☆,NOVICE,5,-1
dreamin' feat.Ryu☆,ADVANCED,10,-1
dreamin' feat.Ryu☆,EXHAUST,13,3727
再教育,NOVICE,2,-1
再教育,ADVANCED,7,-1
再教育,EXHAUST,9,2349
Bad Apple!! feat. nomico,NOVICE,2,-1
Bad Apple!! feat. nomico,ADVANCED,7,-1
Bad Apple!! feat. nomico,EXHAUST,12,3365
Bad Apple!! feat. nomico,INFINITE,16,4153
チルノのパーフェクトさんすう教室,NOVICE,5,-1
チルノのパーフェクトさんすう教室,ADVANCED,10,-1
チルノのパーフェクトさんすう教室,EXHAUST,13,4141
チルノのパーフェクトさんすう教室,INFINITE,16,6085
taboo tears you up 2008,NOVICE,4,-1
taboo tears you up 2008,ADVANCED,10,-1
taboo tears you up 2008,EXHAUST,15,4551
Grip & Break down!! -SDVX Edit.-,NOVICE,5,-1
Grip & Break down!! -SDVX Edit.-,ADVANCED,10,-1
Grip & Break down!! -SDVX Edit.-,EXHAUST,15,4235
Grip & Break down!! -SDVX Edit.-,EXCEED,17,5348
Runway Drive,NOVICE,2,-1
Runway Drive,ADVANCED,7,-1
Runway Drive,EXHAUST,11,3227
月に叢雲華に風,NOVICE,5,-1
月に叢雲華に風,ADVANCED,9,-1
月に叢雲華に風,EXHAUST,13,3600
月に叢雲華に風,INFINITE,15,4921
幻想のサテライト,NOVICE,5,-1
幻想のサテライト,ADVANCED,11,-1
幻想のサテライト,EXHAUST,16,5427
幻想のサテライト,HEAVENLY,18,7476
明星ロケット,NOVICE,3,-1
明星ロケット,ADVANCED,8,-1
明星ロケット,EXHAUST,13,3377
rainbow flyer -gratitude remix-,NOVICE,5,-1
rainbow flyer -gratitude remix-,ADVANCED,9,-1
rainbow flyer -gratitude remix-,EXHAUST,16,4916
Ray,NOVICE,4,-1
Ray,ADVANCED,8,-1
Ray,EXHAUST,12,4136
Ray,HEAVENLY,16,5510
Blue Rain Dustboxxxx RMX,NOVICE,5,-1
Blue Rain Dustboxxxx RMX,ADVANCED,10,-1
Blue Rain Dustboxxxx RMX,EXHAUST,14,4917
Tomorrow Perfume (C-Show Remix),NOVICE,5,-1
Tomorrow Perfume (C-Show Remix),ADVANCED,12,-1
Tomorrow Perfume (C-Show Remix),EXHAUST,16,4971
Abyss (sharp stepp remix),NOVICE,3,-1
Abyss (sharp stepp remix),ADVANCED,10,-1
Abyss (sharp stepp remix),EXHAUST,13,4072
Freeway Shuffle -More2 HAPPY Re-Mix-,NOVICE,5,-1
Freeway Shuffle -More2 HAPPY Re-Mix-,ADVANCED,10,-1
Freeway Shuffle -More2 HAPPY Re-Mix-,EXHAUST,15,4163
pandora (Maozon Remix),NOVICE,2,-1
pandora (Maozon Remix),ADVANCED,8,-1
pandora (Maozon Remix),EXHAUST,13,3441
Tomorrow Perfume (tpz Despair Remix),NOVICE,4,-1
Tomorrow Perfume (tpz Despair Remix),ADVANCED,9,-1
Tomorrow Perfume (tpz Despair Remix),EXHAUST,13,3945
AA BlackY mix,NOVICE,6,-1
AA BlackY mix,ADVANCED,12,-1
AA BlackY mix,EXHAUST,16,5083
AA BlackY mix,INFINITE,17,5534
Soundscape,NOVICE,4,-1
Soundscape,ADVANCED,9,-1
Soundscape,EXHAUST,13,3797
ルートスフィア,NOVICE,1,-1
ルートスフィア,ADVANCED,6,-1
ルートスフィア,EXHAUST,11,2905
人生リセットボタン,NOVICE,4,-1
人生リセットボタン,ADVANCED,11,-1
人生リセットボタン,EXHAUST,15,4288
人生リセットボタン,VIVID,17,5934
十面相,NOVICE,3,-1
十面相,ADVANCED,8,-1
十面相,EXHAUST,13,3764
十面相,VIVID,17,4536
腐れ外道とチョコレゐト,NOVICE,5,-1
腐れ外道とチョコレゐト,ADVANCED,10,-1
腐れ外道とチョコレゐト,EXHAUST,14,3783
腐れ外道とチョコレゐト,HEAVENLY,18,4612
エスケープ・フロム・ディストピア,NOVICE,2,-1
エスケープ・フロム・ディストピア,ADVANCED,7,-1
エスケープ・フロム・ディストピア,EXHAUST,15,4728
V.I.P.,NOVICE,6,-1
V.I.P.,ADVANCED,11,-1
V.I.P.,EXHAUST,17,5762
V.I.P.,HEAVENLY,18,6579
ノイジーラバーソウル,NOVICE,5,-1
ノイジーラバーソウル,ADVANCED,10,-1
ノイジーラバーソウル,EXHAUST,15,4373
ディストピア・ジパング,NOVICE,4,-1
ディストピア・ジパング,ADVANCED,8,-1
ディストピア・ジパング,EXHAUST,13,3413
地球最後の告白を,NOVICE,3,-1
地球最後の告白を,ADVANCED,8,-1
地球最後の告白を,EXHAUST,12,3159
チェックメイト,NOVICE,3,-1
チェックメイト,ADVANCED,7,-1
チェックメイト,EXHAUST,12,3371
カミサマネジマキ,NOVICE,4,-1
カミサマネジマキ,ADVANCED,10,-1
カミサマネジマキ,EXHAUST,15,3885
カミサマネジマキ,GRAVITY,17,4992
VISION,NOVICE,3,-1
VISION,ADVANCED,8,-1
VISION,EXHAUST,13,4090
VISION,GRAVITY,16,5484
TRIGGER★HAPPY,NOVICE,5,-1
TRIGGER★HAPPY,ADVANCED,10,-1
TRIGGER★HAPPY,EXHAUST,14,3709
TRIGGER★HAPPY,GRAVITY,16,5262
大宇宙ステージ,NOVICE,5,-1
大宇宙ステージ,ADVANCED,11,-1
大宇宙ステージ,EXHAUST,17,4923
大宇宙ステージ,GRAVITY,19,6432
éclair au chocolat,NOVICE,3,-1
éclair au chocolat,ADVANCED,9,-1
éclair au chocolat,EXHAUST,13,4375
éclair au chocolat,GRAVITY,17,5544
EGG,NOVICE,3,-1
EGG,ADVANCED,9,-1
EGG,EXHAUST,14,3806
EGG,GRAVITY,17,5879
Absurd Gaff,NOVICE,6,-1
Absurd Gaff,ADVANCED,12,-1
Absurd Gaff,EXHAUST,16,4988
Absurd Gaff,GRAVITY,18,6084
Max Burning!!,NOVICE,7,-1
Max Burning!!,ADVANCED,13,4086
Max Burning!!,EXHAUST,17,5983
Max Burning!!,INFINITE,18,7240
PANIC HOLIC,NOVICE,6,-1
PANIC HOLIC,ADVANCED,11,-1
PANIC HOLIC,EXHAUST,16,5199
PANIC HOLIC,GRAVITY,18,5706
Dynasty,NOVICE,6,-1
Dynasty,ADVANCED,12,-1
Dynasty,EXHAUST,16,4831
Dynasty,INFINITE,17,6405
Gott,NOVICE,6,-1
Gott,ADVANCED,11,-1
Gott,EXHAUST,16,5276
Gott,INFINITE,17,6632
croiX,NOVICE,6,-1
croiX,ADVANCED,12,-1
croiX,EXHAUST,16,5577
croiX,INFINITE,18,7244
Rot in hell！！,NOVICE,3,-1
Rot in hell！！,ADVANCED,8,-1
Rot in hell！！,EXHAUST,13,3364
物凄い勢いでけーねが物凄いうた,NOVICE,5,-1
物凄い勢いでけーねが物凄いうた,ADVANCED,10,-1
物凄い勢いでけーねが物凄いうた,EXHAUST,15,4082
魔理沙は大変なものを盗んでいきました,NOVICE,4,-1
魔理沙は大変なものを盗んでいきました,ADVANCED,9,-1
魔理沙は大変なものを盗んでいきました,EXHAUST,13,4270
魔理沙は大変なものを盗んでいきました,GRAVITY,18,6075
Help me， ERINNNNNN!!,NOVICE,5,-1
Help me， ERINNNNNN!!,ADVANCED,10,-1
Help me， ERINNNNNN!!,EXHAUST,13,5004
ケロ⑨destiny,NOVICE,4,-1
ケロ⑨destiny,ADVANCED,10,-1
ケロ⑨destiny,EXHAUST,15,4762
ケロ⑨destiny,HEAVENLY,17,6064
色は匂へど散りぬるを,NOVICE,2,-1
色は匂へど散りぬるを,ADVANCED,8,-1
色は匂へど散りぬるを,EXHAUST,12,3819
-Rayrain-,NOVICE,3,-1
-Rayrain-,ADVANCED,9,-1
-Rayrain-,EXHAUST,12,3304
ナイト・オブ・ナイツ,NOVICE,5,-1
ナイト・オブ・ナイツ,ADVANCED,11,-1
ナイト・オブ・ナイツ,EXHAUST,15,4464
ナイト・オブ・ナイツ,INFINITE,17,5461
DesireDrive,NOVICE,5,-1
DesireDrive,ADVANCED,10,-1
DesireDrive,EXHAUST,13,4028
Silent Story,NOVICE,2,-1
Silent Story,ADVANCED,8,-1
Silent Story,EXHAUST,11,2952
究極焼肉レストラン！お燐の地獄亭！,NOVICE,5,-1
究極焼肉レストラン！お燐の地獄亭！,ADVANCED,10,-1
究極焼肉レストラン！お燐の地獄亭！,EXHAUST,13,3439
泡沫、哀のまほろば,NOVICE,2,-1
泡沫、哀のまほろば,ADVANCED,8,-1
泡沫、哀のまほろば,EXHAUST,13,3949
灰色の空想をつかんで,NOVICE,5,-1
灰色の空想をつかんで,ADVANCED,8,-1
灰色の空想をつかんで,EXHAUST,12,3499
ナツノメイロ,NOVICE,4,-1
ナツノメイロ,ADVANCED,11,-1
ナツノメイロ,EXHAUST,14,3971
true feeling？～本当の気持ち♪～,NOVICE,4,-1
true feeling？～本当の気持ち♪～,ADVANCED,10,-1
true feeling？～本当の気持ち♪～,EXHAUST,12,3574
境界インサニティー,NOVICE,6,-1
境界インサニティー,ADVANCED,11,-1
境界インサニティー,EXHAUST,13,4701
MANDARA,NOVICE,5,-1
MANDARA,ADVANCED,10,-1
MANDARA,EXHAUST,15,3500
Disagree Feelings,NOVICE,6,-1
Disagree Feelings,ADVANCED,11,-1
Disagree Feelings,EXHAUST,15,4368
センチメント,NOVICE,1,-1
センチメント,ADVANCED,7,-1
センチメント,EXHAUST,10,2553
金縛りの逢を,NOVICE,6,-1
金縛りの逢を,ADVANCED,11,-1
金縛りの逢を,EXHAUST,17,6372
金縛りの逢を,HEAVENLY,18,7167
ケッペキショウ,NOVICE,5,-1
ケッペキショウ,ADVANCED,10,-1
ケッペキショウ,EXHAUST,15,4554
過食性:アイドル症候群,NOVICE,5,-1
過食性:アイドル症候群,ADVANCED,10,-1
過食性:アイドル症候群,EXHAUST,16,5194
過食性:アイドル症候群,INFINITE,17,6854
一途な片思い、実らせたい小さな幸せ。,NOVICE,3,-1
一途な片思い、実らせたい小さな幸せ。,ADVANCED,8,-1
一途な片思い、実らせたい小さな幸せ。,EXHAUST,12,3664
Earthquake Super Shock - SDVX Edit. -,NOVICE,4,-1
Earthquake Super Shock - SDVX Edit. -,ADVANCED,10,-1
Earthquake Super Shock - SDVX Edit. -,EXHAUST,15,4739
Life is Beautiful,NOVICE,4,-1
Life is Beautiful,ADVANCED,9,-1
Life is Beautiful,EXHAUST,13,3890
僕たちは此処にいる,NOVICE,4,-1
僕たちは此処にいる,ADVANCED,9,-1
僕たちは此処にいる,EXHAUST,13,3396
draw!!!!,NOVICE,3,-1
draw!!!!,ADVANCED,8,-1
draw!!!!,EXHAUST,12,3590
超恋愛☆エクストリーム・ガール,NOVICE,5,-1
超恋愛☆エクストリーム・ガール,ADVANCED,10,-1
超恋愛☆エクストリーム・ガール,EXHAUST,15,3893
Hello world!,NOVICE,3,-1
Hello world!,ADVANCED,10,-1
Hello world!,EXHAUST,13,4072
七色のウタ,NOVICE,4,-1
七色のウタ,ADVANCED,9,-1
七色のウタ,EXHAUST,13,4169
ずっとそばにいさせてよね！,NOVICE,4,-1
ずっとそばにいさせてよね！,ADVANCED,8,-1
ずっとそばにいさせてよね！,EXHAUST,15,4508
STARDUST MERMAID,NOVICE,1,-1
STARDUST MERMAID,ADVANCED,7,-1
STARDUST MERMAID,EXHAUST,12,3384
The world of sound,NOVICE,5,-1
The world of sound,ADVANCED,11,-1
The world of sound,EXHAUST,17,5960
The world of sound,HEAVENLY,18,7478
Wheel,NOVICE,3,-1
Wheel,ADVANCED,11,-1
Wheel,EXHAUST,16,4681
Wheel,HEAVENLY,17,5381
秘封倶楽部の未踏世界,NOVICE,2,-1
秘封倶楽部の未踏世界,ADVANCED,9,-1
秘封倶楽部の未踏世界,EXHAUST,12,3581
Strawberry Crisis,NOVICE,4,-1
Strawberry Crisis,ADVANCED,10,-1
Strawberry Crisis,EXHAUST,16,5773
ルービックキューブ,NOVICE,2,-1
ルービックキューブ,ADVANCED,9,-1
ルービックキューブ,EXHAUST,15,3864
ドロボウナイトトリック,NOVICE,4,-1
ドロボウナイトトリック,ADVANCED,12,-1
ドロボウナイトトリック,EXHAUST,14,4818
孤独の番人,NOVICE,2,-1
孤独の番人,ADVANCED,8,-1
孤独の番人,EXHAUST,16,4487
孤独の番人,HEAVENLY,18,5921
仇返しシンドローム,NOVICE,4,-1
仇返しシンドローム,ADVANCED,10,-1
仇返しシンドローム,EXHAUST,15,4584
ワールド・ランプシェード,NOVICE,1,-1
ワールド・ランプシェード,ADVANCED,7,-1
ワールド・ランプシェード,EXHAUST,12,3299
Raptate,NOVICE,4,-1
Raptate,ADVANCED,9,-1
Raptate,EXHAUST,12,2546
待チ人ハ来ズ。,NOVICE,3,-1
待チ人ハ来ズ。,ADVANCED,7,-1
待チ人ハ来ズ。,EXHAUST,12,3138
Mother Ship (C-YA MIX),NOVICE,4,-1
Mother Ship (C-YA MIX),ADVANCED,11,-1
Mother Ship (C-YA MIX),EXHAUST,15,3857
Foolish Hero,NOVICE,4,-1
Foolish Hero,ADVANCED,10,-1
Foolish Hero,EXHAUST,14,3695
ファンタジースター,NOVICE,2,-1
ファンタジースター,ADVANCED,8,-1
ファンタジースター,EXHAUST,13,3481
非公開日誌,NOVICE,2,-1
非公開日誌,ADVANCED,7,-1
非公開日誌,EXHAUST,12,4153
Next infection,NOVICE,4,-1
Next infection,ADVANCED,10,-1
Next infection,EXHAUST,15,4959
dream control,NOVICE,4,-1
dream control,ADVANCED,10,-1
dream control,EXHAUST,11,3320
東方妖々夢 ～the maximum moving about～,NOVICE,2,-1
東方妖々夢 ～the maximum moving about～,ADVANCED,8,-1
東方妖々夢 ～the maximum moving about～,EXHAUST,13,3747
トーキョープレジャーグラウンド,NOVICE,2,-1
トーキョープレジャーグラウンド,ADVANCED,10,-1
トーキョープレジャーグラウンド,EXHAUST,13,3677
DELETED MOTION,NOVICE,3,-1
DELETED MOTION,ADVANCED,11,-1
DELETED MOTION,EXHAUST,13,4225
Daily Lunch Special (tpz Overcute Remix),NOVICE,3,-1
Daily Lunch Special (tpz Overcute Remix),ADVANCED,9,-1
Daily Lunch Special (tpz Overcute Remix),EXHAUST,13,4122
Diffused Reflection,NOVICE,3,-1
Diffused Reflection,ADVANCED,10,-1
Diffused Reflection,EXHAUST,12,3610
蒼空に舞え、墨染の桜,NOVICE,1,-1
蒼空に舞え、墨染の桜,ADVANCED,6,-1
蒼空に舞え、墨染の桜,EXHAUST,11,3307
星霜輪廻～Repeat～,NOVICE,2,-1
